City#,CityId,Query
497,1140497,"Bagadó, Chocó, Colombia"
498,1140498,"Bahía Solano, Chocó, Colombia"
499,1140499,"Bajo Baudó, Chocó, Colombia"
500,1140500,"Bojayá, Chocó, Colombia"
501,1140501,"Cértegui, Chocó, Colombia"
502,1140502,"Condoto, Chocó, Colombia"
503,1140503,"El Cantón de San Pablo, Chocó, Colombia"
504,1140504,"El Carmen de Atrato, Chocó, Colombia"
505,1140505,"El Carmen del Darién, Chocó, Colombia"
506,1140506,"El Litoral de San Juan, Chocó, Colombia"
507,1140507,"Istmina, Chocó, Colombia"
508,1140508,"Juradó, Chocó, Colombia"
509,1140509,"Lloró, Chocó, Colombia"
510,1140510,"Medio Atrato, Chocó, Colombia"
511,1140511,"Medio Baudó, Chocó, Colombia"
512,1140512,"Medio San Juan, Chocó, Colombia"
513,1140513,"Nóvita, Chocó, Colombia"
514,1140514,"Nuquí, Chocó, Colombia"
515,1140515,"Quibdó, Chocó, Colombia"
516,1140516,"Río Iró, Chocó, Colombia"
517,1140517,"Río Quito, Chocó, Colombia"
518,1140518,"Riosucio, Chocó, Colombia"
519,1140519,"San José del Palmar, Chocó, Colombia"
520,1140520,"Sipí, Chocó, Colombia"
521,1140521,"Tadó, Chocó, Colombia"
522,1140522,"Unguía, Chocó, Colombia"
523,1140523,"Unión Panamericana, Chocó, Colombia"
524,1150524,"Chocontá, Cundinamarca, Colombia"
525,1150525,"Machetá, Cundinamarca, Colombia"
526,1150526,"Manta, Cundinamarca, Colombia"
527,1150527,"Sesquilé, Cundinamarca, Colombia"
528,1150528,"Suesca, Cundinamarca, Colombia"
529,1150529,"Tibirita, Cundinamarca, Colombia"
530,1150530,"Villapinzón, Cundinamarca, Colombia"
531,1150531,"Agua de Dios, Cundinamarca, Colombia"
532,1150532,"Girardot, Cundinamarca, Colombia"
533,1150533,"Guataquí, Cundinamarca, Colombia"
534,1150534,"Jerusalén, Cundinamarca, Colombia"
535,1150535,"Nariño, Cundinamarca, Colombia"
536,1150536,"Nilo, Cundinamarca, Colombia"
537,1150537,"Ricaurte, Cundinamarca, Colombia"
538,1150538,"Tocaima, Cundinamarca, Colombia"
539,1150539,"Caparrapí, Cundinamarca, Colombia"
540,1150540,"Guaduas, Cundinamarca, Colombia"
541,1150541,"Puerto Salgar, Cundinamarca, Colombia"
542,1150542,"Albán, Cundinamarca, Colombia"
543,1150543,"La Peña, Cundinamarca, Colombia"
544,1150544,"La Vega, Cundinamarca, Colombia"
545,1150545,"Nimaima, Cundinamarca, Colombia"
546,1150546,"Nocaima, Cundinamarca, Colombia"
547,1150547,"Quebradanegra, Cundinamarca, Colombia"
548,1150548,"San Francisco, Cundinamarca, Colombia"
549,1150549,"Sasaima, Cundinamarca, Colombia"
550,1150550,"Supatá, Cundinamarca, Colombia"
551,1150551,"Útica, Cundinamarca, Colombia"
552,1150552,"Vergara, Cundinamarca, Colombia"
553,1150553,"Villeta, Cundinamarca, Colombia"
